iter	Logloss
429	0.03361405462
430	0.03351342157
431	0.03341421162
432	0.03332174575
433	0.03323778297
434	0.03315006336
435	0.03302179846
436	0.03293227499
437	0.03288237487
438	0.03260204382
439	0.03250801694
440	0.0323114204
441	0.03215121176
442	0.03201258279
443	0.03193145103
444	0.03179647559
445	0.03171637235
446	0.03165842301
447	0.03158899191
448	0.03156904536
449	0.03150473924
450	0.03137135961
451	0.031240639
452	0.03101405416
453	0.03088215683
454	0.03078116087
455	0.03064131103
456	0.03054339976
457	0.03051147699
458	0.03037669516
459	0.03029443099
460	0.03025912719
461	0.03016223519
462	0.03009663301
463	0.02998322512
464	0.02990612962
465	0.0298399346
466	0.02978356411
467	0.02970354265
468	0.02956227672
469	0.02950951476
470	0.02941157573
471	0.02935095108
472	0.02923988093
473	0.02919674976
474	0.02907361905
475	0.02894181126
476	0.0288058702
477	0.02870428838
478	0.02862911087
479	0.02856304673
480	0.02847208008
481	0.02840989189
482	0.02834930166
483	0.02826882222
484	0.02816970833
485	0.02811448616
486	0.02801489922
487	0.0279693226
488	0.02792371222
489	0.02783673351
490	0.02774933883
491	0.02769153196
492	0.02761642542
493	0.027583306
494	0.02752793313
495	0.02745708645
496	0.0273996414
497	0.02735066757
498	0.02730257154
499	0.02726593186
